27332.48,122.11,3.85,45.16333,99.96333,27.26,4132.403,12.57,0,52.61334,27.66333,28.39667,1591.51,13507.77,17.11,22.52333,7.886667,15.54667,19.88667,937.5333,0,1648.633,35.37,28.38667,18.67667,700.65,1
5235.7,1598.743,0,0,75.49,2689.947,4.553333,1174.317,31.12333,4.38,539.8367,2.413333,32.36334,256.2,245.0833,244.37,5.436667,9.443334,190.43,9.45,48.25667,9.955,4.273334,517.0333,2.476667,73.16333,1
37.55333,14.00667,597.05,2.7,201.8733,107.9333,326.58,0,4.36,8.053333,173.7067,10.03,70.33667,7.06,4.01,528.4434,5.74,47.20667,193.6533,154.0667,93.66,0,3.81,77.80666,13.14333,62.95667,1
43.90333,84.89333,49.76667,1450.61,16.14333,0,46.76,4133.49,373.9033,3081.563,14568.42,14.2,3.586667,5.093333,14.11667,21.98333,3203.847,1.823333,2426.45,47.36334,27.90667,12.71,1769.09,13382.21,13.55,3.38,1
440.7,2671.22,30543.6,17.43,23.27667,7.72,111.9267,51.66333,3498.683,1.265,2200.957,38.17,44.38667,30.22667,1768.417,13664.43,96.91333,4.643333,3.61,31.63,21.09,1025.83,0,2074.443,35.91,30.29,1
1252.53,1137.263,8.066667,12.40333,580.95,2.923333,264.0967,5226.38,3808.45,258.5,0,9.616667,117.6667,14.42,58.05333,34.59333,3.943333,542.3834,3.016667,28.74333,214.34,182.7367,105.8467,0,3.363333,35.87667,0
439.5,459.3667,3132.36,28304.27,101.7467,3.113333,47.60667,705.78,42.48667,1043.72,1.17,1756.807,44.95667,62.81333,23.83,1609.647,15142.09,20.98,3.21,3.133333,9.026667,19.48333,959.7667,0,1858.19,46.02,0
0,4.953333,4.92,73.78,1044.043,50.77,39.62667,15.39333,618.0067,2.486667,60.79334,257.23,150.99,269.1833,0,33.97,1259.187,18.28333,59.27667,0,3.166667,533.02,2.103333,42.28333,144.44,336.07,0
6.363333,84.69666,4346.354,7.223333,1077.373,12.85,14.20333,536.7434,6.423333,52.34667,241.02,263.9267,263.4167,0,8.286667,168.0933,47.43333,101.2533,5.66,1.873333,441.8767,2.46,46.06667,244.98,202.4633,67,0
46.16,4015.937,1.08,1406.073,191.5633,25.99667,493.3,3841.33,0,18.07667,3.073333,6.026667,12.00667,22.08667,938.67,14.28667,0,57.12667,24.08667,17.19,1491.96,12899.49,14.2,3.1,6.816667,22.82,0
